Wien-Alter-Ausländische Herkunft | Vienna-Age-Foreign Background;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;.;.;2;0;7962;357;240;148;158;71;74;33;1;35;709;6136;20080101
AT1;AT13;AT130;.;.;2;1;8398;376;234;145;162;65;55;21;5;60;815;6460;20080101
AT1;AT13;AT130;.;.;2;2;8078;323;234;139;136;80;52;23;1;54;751;6285;20080101
AT1;AT13;AT130;.;.;2;3;7885;301;230;136;123;70;50;28;6;78;684;6179;20080101
AT1;AT13;AT130;.;.;2;4;7766;294;242;109;104;74;52;15;1;64;727;6084;20080101
AT1;AT13;AT130;.;.;2;5;7927;265;246;119;109;101;32;26;1;77;746;6205;20080101
AT1;AT13;AT130;.;.;2;6;7621;274;279;124;107;100;42;16;0;75;737;5867;20080101
AT1;AT13;AT130;.;.;2;7;7672;317;289;91;97;111;44;20;3;45;759;5896;20080101
AT1;AT13;AT130;.;.;2;8;7420;288;291;82;100;102;38;16;2;50;711;5740;20080101
AT1;AT13;AT130;.;.;2;9;7455;319;311;90;94;127;34;16;2;53;756;5653;20080101
AT1;AT13;AT130;.;.;2;10;7597;317;299;94;107;117;37;26;2;55;772;5771;20080101
AT1;AT13;AT130;.;.;2;11;7819;324;320;89;114;120;46;17;4;47;804;5934;20080101
AT1;AT13;AT130;.;.;2;12;7829;334;312;81;85;115;40;22;1;46;780;6013;20080101
AT1;AT13;AT130;.;.;2;13;7987;318;329;77;121;124;34;21;2;67;742;6152;20080101
AT1;AT13;AT130;.;.;2;14;7968;319;313;85;98;105;45;15;2;41;714;6231;20080101
AT1;AT13;AT130;.;.;2;15;8091;367;300;66;106;145;26;15;3;55;751;6257;20080101
AT1;AT13;AT130;.;.;2;16;8230;351;313;76;81;219;42;27;2;47;765;6307;20080101
AT1;AT13;AT130;.;.;2;17;8189;428;340;77;94;209;55;10;3;63;856;6054;20080101
AT1;AT13;AT130;.;.;2;18;8735;443;463;97;84;276;106;26;4;53;980;6203;20080101
AT1;AT13;AT130;.;.;2;19;9594;528;569;131;130;289;175;48;5;64;1142;6513;20080101
AT1;AT13;AT130;.;.;2;20;10428;612;664;253;179;300;198;58;5;70;1383;6706;20080101
AT1;AT13;AT130;.;.;2;21;10920;580;730;295;184;324;250;52;7;62;1559;6877;20080101
AT1;AT13;AT130;.;.;2;22;11293;635;744;349;289;367;189;75;7;66;1653;6919;20080101
AT1;AT13;AT130;.;.;2;23;12055;663;770;380;286;408;228;82;11;75;1880;7272;20080101
AT1;AT13;AT130;.;.;2;24;12451;688;726;382;365;395;216;96;9;94;2049;7431;20080101
AT1;AT13;AT130;.;.;2;25;12924;675;731;446;369;333;224;95;9;87;2115;7840;20080101
AT1;AT13;AT130;.;.;2;26;13367;724;843;456;426;392;269;130;13;134;2224;7756;20080101
AT1;AT13;AT130;.;.;2;27;13096;720;770;459;483;353;295;117;14;122;2384;7379;20080101
AT1;AT13;AT130;.;.;2;28;12446;737;764;474;466;324;263;136;19;107;2268;6888;20080101
AT1;AT13;AT130;.;.;2;29;12295;737;758;437;483;299;305;160;13;104;2252;6747;20080101
AT1;AT13;AT130;.;.;2;30;12332;773;730;452;453;305;289;160;21;125;2414;6610;20080101
AT1;AT13;AT130;.;.;2;31;12269;810;674;452;465;325;289;149;10;110;2396;6589;20080101
AT1;AT13;AT130;.;.;2;32;12508;792;723;410;446;318;273;204;16;109;2310;6907;20080101
AT1;AT13;AT130;.;.;2;33;12970;812;857;406;411;362;272;174;14;109;2362;7191;20080101
AT1;AT13;AT130;.;.;2;34;12849;788;905;378;380;392;215;140;18;92;2407;7134;20080101
AT1;AT13;AT130;.;.;2;35;13301;870;868;401;416;416;251;126;13;110;2388;7442;20080101
AT1;AT13;AT130;.;.;2;36;13556;943;780;368;429;494;232;151;11;98;2284;7766;20080101
AT1;AT13;AT130;.;.;2;37;13850;943;822;403;419;445;193;136;20;109;2329;8031;20080101
AT1;AT13;AT130;.;.;2;38;14120;963;733;337;340;481;222;146;14;104;2170;8610;20080101
AT1;AT13;AT130;.;.;2;39;14675;900;661;360;387;474;249;121;18;80;2100;9325;20080101
AT1;AT13;AT130;.;.;2;40;14200;843;516;392;322;451;243;126;19;84;1996;9208;20080101
AT1;AT13;AT130;.;.;2;41;14219;793;755;349;362;447;118;82;11;75;1964;9263;20080101
AT1;AT13;AT130;.;.;2;42;14090;761;799;330;368;453;130;87;7;81;1884;9190;20080101
AT1;AT13;AT130;.;.;2;43;14034;708;701;317;309;401;123;92;17;104;1903;9359;20080101
AT1;AT13;AT130;.;.;2;44;14033;744;617;321;330;413;103;80;19;77;1774;9555;20080101
AT1;AT13;AT130;.;.;2;45;13546;709;535;306;329;371;115;73;5;72;1767;9264;20080101
AT1;AT13;AT130;.;.;2;46;12972;773;458;283;391;369;104;80;7;79;1471;8957;20080101
AT1;AT13;AT130;.;.;2;47;12781;734;671;239;401;378;114;69;11;76;1544;8544;20080101
AT1;AT13;AT130;.;.;2;48;12287;742;502;248;437;341;98;78;10;70;1518;8243;20080101
AT1;AT13;AT130;.;.;2;49;11676;694;439;220;458;370;98;87;12;66;1423;7809;20080101
AT1;AT13;AT130;.;.;2;50;11292;737;356;208;481;332;96;85;14;51;1410;7522;20080101
AT1;AT13;AT130;.;.;2;51;11495;874;484;201;438;392;112;113;20;61;1485;7315;20080101
AT1;AT13;AT130;.;.;2;52;10892;990;461;199;467;381;90;148;9;55;1390;6702;20080101
AT1;AT13;AT130;.;.;2;53;10500;1119;380;192;433;396;94;151;6;62;1353;6314;20080101
AT1;AT13;AT130;.;.;2;54;10073;1125;325;199;390;401;57;149;3;37;1288;6099;20080101
AT1;AT13;AT130;.;.;2;55;9966;1126;313;182;406;391;77;131;3;64;1276;5997;20080101
AT1;AT13;AT130;.;.;2;56;9412;980;201;173;330;269;65;117;3;46;1184;6044;20080101
AT1;AT13;AT130;.;.;2;57;9989;1067;341;164;315;288;79;114;2;44;1152;6423;20080101
AT1;AT13;AT130;.;.;2;58;10304;922;244;192;246;323;75;127;2;43;1109;7021;20080101
AT1;AT13;AT130;.;.;2;59;11190;904;246;181;254;234;53;152;5;29;1112;8020;20080101
AT1;AT13;AT130;.;.;2;60;11776;717;191;246;213;210;44;152;3;51;1082;8867;20080101
AT1;AT13;AT130;.;.;2;61;8835;518;178;295;186;167;45;136;10;54;921;6325;20080101
AT1;AT13;AT130;.;.;2;62;8768;438;184;416;160;128;43;107;2;42;1058;6190;20080101
AT1;AT13;AT130;.;.;2;63;11107;456;136;383;225;121;42;134;2;33;1176;8399;20080101
AT1;AT13;AT130;.;.;2;64;10971;438;113;381;190;117;57;109;3;19;1006;8538;20080101
AT1;AT13;AT130;.;.;2;65;10277;420;120;365;142;104;44;118;3;19;967;7975;20080101
AT1;AT13;AT130;.;.;2;66;11557;400;97;376;125;101;52;102;1;33;920;9350;20080101
AT1;AT13;AT130;.;.;2;67;12029;375;111;415;109;102;61;87;1;36;848;9884;20080101
